platform_type,url,display_name
facebook_page,https://www.facebook.com/pvgaslpg,pvgaslpg
facebook_page,https://www.facebook.com/profile.php?id=100064581828615,tuoitrepvgas
facebook_page,https://www.facebook.com/pvgasservices,pvgasservices
facebook_page,https://www.facebook.com/clbkhichat,khichat
facebook_page,https://www.facebook.com/pvgaskdn,pvgaskhiongnam
facebook_page,https://www.facebook.com/pvgasvungtau,pvgasvungtau
facebook_page,https://www.facebook.com/pvgascm,pvgascamau
facebook_page,https://www.facebook.com/petrovietnamgas.official,thapluathapuay
facebook_page,https://www.facebook.com/CNGVietnam/,cngvietnam
facebook_page,https://www.facebook.com/NhamayGPP,nhamayxulykhidi
facebook_page,https://www.facebook.com/ThiVaiTerminal,khocangpvgasvun
facebook_page,https://www.facebook.com/tuoitreKDN,tuoitrekhiongna
facebook_page,https://www.facebook.com/phanboncamau,phanboncamau
facebook_page,https://www.facebook.com/tuoitrephanboncamau,tuoitrephanbonc
facebook_page,https://www.facebook.com/profile.php?id=100070269496940,congtycophanbao
facebook_page,https://www.facebook.com/PvfCcoPackaging,pvfccopackaging
facebook_page,https://www.facebook.com/pvfcco,facebook_pvfcco
facebook_page,https://www.facebook.com/congdoanpvfcco,congoantctphanb
facebook_page,https://www.facebook.com/pvdrilling.com.vn,Tổng công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí | Ho Chi Minh City
facebook_page,https://www.facebook.com/congdoanpvd,congoanpvdrilli
facebook_page,https://www.facebook.com/PVDTrainingVietnam,pvdtraining
facebook_page,https://www.facebook.com/tct.pvep,Tổng Công Ty Thăm Dò Khai Thác Dầu Khí - PVEP
facebook_page,https://www.facebook.com/DoituyencaulongPVEP,oituyencaulongt
facebook_page,https://www.facebook.com/pvep.com.vn,petrovietnamexp
facebook_page,https://www.facebook.com/congdoanpvep,congoantongcong
facebook_page,https://www.facebook.com/DTN.PVEP,tuoitrepvep
facebook_page,https://www.facebook.com/PVU.PVN,truongaihocdauk
facebook_page,https://www.facebook.com/Petroexperts,advancedtrainin
facebook_page,https://www.facebook.com/profile.php?id=100084080021982,viendaukhivietn
facebook_page,https://www.facebook.com/doanthanhnienvpi,tuoitreviendauk
facebook_page,https://www.facebook.com/profile.php?id=100092216375803,tongcongtycpxay
facebook_page,https://www.facebook.com/PVcomBankFanpage,PVcomBank | Hanoi
facebook_page,https://www.facebook.com/pvcollege,pvcollegetruong
facebook_page,https://www.facebook.com/doanthanhnienptsc,oanthanhnienpts
facebook_page,https://www.facebook.com/tuoitrepvtrans,tuoitrepvtrans
facebook_page,https://www.facebook.com/profile.php?id=100048065086959,congoandqsdungq
facebook_page,https://www.facebook.com/baodientuPetrotimes,baodientupetrot
facebook_page,https://www.facebook.com/tintucPetroTimes,tintucpetrotime
facebook_page,https://www.facebook.com/tintucvietnam24h/,tintucvietnam24
facebook_page,https://www.facebook.com/tapchinangluongvietnam,tapchinangluong
facebook_page,https://www.facebook.com/oilgasvietnam,oilgasvietnam
facebook_page,https://www.facebook.com/oilgas.vn,oilgasvn
facebook_page,https://www.facebook.com/tuoitredaukhi,tuoitredaukhi
facebook_page,https://www.facebook.com/Gocnhinkysudaukhiofficial,gocnhinkysudau
facebook_page,https://www.facebook.com/baocongthuong,baocongthuong
facebook_page,https://www.facebook.com/thoisuvtv,thoisuvtv
facebook_page,https://www.facebook.com/VTVtoiyeu,vtvtoiyeu
facebook_page,https://www.facebook.com/tintucvtv24,tintucvtv24
facebook_page,https://www.facebook.com/tintuccand,tintuccand
facebook_page,https://www.facebook.com/vietnamfinancevn,vietnamfinance
facebook_page,https://www.facebook.com/VTVMoney,vtvmoney
facebook_page,https://www.facebook.com/thanhnien,thanhnien
facebook_page,https://www.facebook.com/vietnamnet.vn,vietnamnetvn
facebook_page,https://www.facebook.com/daibieunhandan.vn,daibieunhandan
facebook_page,https://www.facebook.com/baoquandoinhandan,baoquandoinhan
facebook_page,https://www.facebook.com/vtcnewsvn,vtcnewsvn
facebook_page,https://www.facebook.com/ThongtanxaVietNam,thongtanxaviet
facebook_page,https://www.facebook.com/thongtinchinhphu,thongtinchinhp
facebook_page,https://www.facebook.com/congdongvnexpress,congdongvnexpre
facebook_page,https://www.facebook.com/vneconomy.vn,vneconomyvn
facebook_page,https://www.facebook.com/nhandandientutiengviet,nhandandientut
facebook_page,https://www.facebook.com/laodongonline,laodongonline
facebook_page,https://www.facebook.com/baodientuvov.vn,baodientuvovvn
facebook_page,https://www.facebook.com/baodautu.vn,baodautuvn
facebook_page,https://www.facebook.com/VietnamPlus,vietnamplus
facebook_page,https://www.facebook.com/giaoducthoidai,giaoducthoidai
facebook_page,https://www.facebook.com/saigongiaiphongnews,saigongiaiphon
facebook_page,https://www.facebook.com/baodantridientu,baodantridient
facebook_page,https://www.facebook.com/tintucphapluatvadoisong,tintucphapluat
facebook_page,https://www.facebook.com/baoxaydungonline,baoxaydungonli
facebook_page,https://www.facebook.com/www.baotintuc.vn,wwwbaotintucvn
facebook_page,https://www.facebook.com/baotaichinh,baotaichinh
facebook_page,https://www.facebook.com/cafechungkhoanek,cafechungkhoan
facebook_page,https://www.facebook.com/CafeF,cafef
facebook_page,https://www.facebook.com/Vietstock.vn,vietstockvn
facebook_group,https://www.facebook.com/groups/congdongvoz,VOZ.VN✅
facebook_group,https://www.facebook.com/groups/315154351880886/,Chuyện trò linh tinh™
